Quarter,Topic,Difficulty,Question,Choice_A,Choice_B,Choice_C,Choice_D,Correct,Explanation
4,ElectricityMagnetism,Easy,Which scientist famously flew a kite during a thunderstorm to prove that lightning is a form of electricity?,Hans Christian Ørsted,Michael Faraday,Benjamin Franklin,Alessandro Volta,C,Benjamin Franklin's kite experiment in 1752 helped establish the connection between lightning and static electricity.
4,ElectricityMagnetism,Medium,Who discovered that an electric current flowing through a wire creates a magnetic field?,James Clerk Maxwell,Hans Christian Ørsted,Andre-Marie Ampère,Nikola Tesla,B,In 1820 Ørsted noticed a compass needle deflect when placed near a wire carrying a current marking the birth of electromagnetism.
4,ElectricityMagnetism,Hard,What did Michael Faraday demonstrate with his "induction" experiment in 1831?,A battery can create a magnetic field,A changing magnetic field can induce an electric current in a wire,Electricity always moves at the speed of light,Magnets are made of tiny particles,B,Faraday showed that moving a magnet through a coil of wire produces electricity which is the principle behind modern power generators.
4,ElectricityMagnetism,Medium,Which invention by Alessandro Volta in 1800 provided the first source of continuous electric current?,The lightbulb,The telegraph,The voltaic pile,The electric motor,C,The voltaic pile was the world's first chemical battery allowing scientists to study steady flows of electricity for the first time.
4,ElectricityMagnetism,Hard,Which scientist formulated a set of four mathematical equations that unified electricity and magnetism into a single theory?,Thomas Edison,James Clerk Maxwell,André-Marie Ampère,Heinrich Hertz,B,Maxwell’s equations successfully combined electricity and magnetism into the single field of electromagnetism and predicted the existence of EM waves.
4,ElectricityMagnetism,Easy,What is the name of the device Michael Faraday used to show that electricity could produce motion?,The electric motor,The telegraph,The battery,The lightbulb,A,Faraday’s "electromagnetic rotation" experiment was the precursor to the modern electric motor.
4,ElectricityMagnetism,Medium,Who is known for the discovery that two parallel wires carrying currents will attract or repel each other?,Benjamin Franklin,André-Marie Ampère,Georg Ohm,William Gilbert,B,Ampère established the mathematical laws of electrodynamics and studied the forces between electrical currents.
4,ElectricityMagnetism,Hard,Which physicist first proved the existence of the electromagnetic waves predicted by Maxwell?,Nikola Tesla,Heinrich Hertz,Guglielmo Marconi,Joseph Henry,B,Hertz’s experiments in the 1880s confirmed that EM waves travel at the speed of light and can be reflected and refracted.
4,ElectricityMagnetism,Easy,Which scientist is credited with inventing the first practical incandescent lightbulb?,Alexander Graham Bell,Thomas Edison,Michael Faraday,Benjamin Franklin,B,While many worked on the concept Edison’s 1879 design was the first commercially successful and long-lasting lightbulb.
4,ElectricityMagnetism,Medium,What discovery is William Gilbert famous for in the history of magnetism?,He invented the battery,He discovered the electron,He proposed that the Earth itself acts as a giant magnet,He created the first electric motor,C,In his 1600 book 'De Magnete' Gilbert was the first to suggest that the Earth has a magnetic core.
